                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.18788,                0.43548,                0.84188,                      1,                      1,                  0.995,                  0.995,                0.12117,                0.31885,                0.66337,             0.00039607,             0.00039607,             0.00039607
                     67,                0.18759,                0.45164,                0.83432,                      1,                      1,                  0.995,                  0.995,                0.11812,                0.30914,                0.66208,             0.00038507,             0.00038507,             0.00038507
                     68,                0.21093,                0.45373,                0.85721,                      1,                      1,                  0.995,                  0.995,                0.12468,                0.31323,                0.66474,             0.00037407,             0.00037407,             0.00037407
                     69,                0.18051,                0.40057,                0.84123,                      1,                      1,                  0.995,                  0.995,                0.13335,                0.31431,                0.66916,             0.00036307,             0.00036307,             0.00036307
                     70,                0.20121,                 0.4632,                0.83245,                      1,                      1,                  0.995,                  0.995,                0.11865,                0.31004,                 0.6631,             0.00035208,             0.00035208,             0.00035208
                     71,                0.21359,                0.46614,                0.86347,                      1,                      1,                  0.995,                  0.995,                0.11303,                0.27361,                0.66133,             0.00034108,             0.00034108,             0.00034108
                     72,                 0.2112,                0.40596,                0.85674,                      1,                      1,                  0.995,                  0.995,                0.13208,                 0.2756,                0.66455,             0.00033008,             0.00033008,             0.00033008
                     73,                0.18934,                0.40185,                0.83269,                      1,                      1,                  0.995,                  0.995,                0.12309,                0.27135,                  0.662,             0.00031908,             0.00031908,             0.00031908
                     74,                0.18342,                0.42087,                0.85433,                      1,                      1,                  0.995,                  0.995,                0.11281,                0.27906,                0.65986,             0.00030808,             0.00030808,             0.00030808
                     75,                0.17422,                0.40994,                0.85384,                      1,                      1,                  0.995,                  0.995,                0.11257,                0.32534,                0.65905,             0.00029708,             0.00029708,             0.00029708
                     76,                0.19914,                0.38588,                 0.8294,                      1,                      1,                  0.995,                  0.995,                0.13132,                 0.3196,                0.66043,             0.00028608,             0.00028608,             0.00028608
                     77,                0.18017,                  0.395,                 0.8328,                      1,                      1,                  0.995,                  0.995,                0.12801,                0.28129,                0.66114,             0.00027508,             0.00027508,             0.00027508
                     78,                0.20296,                0.40239,                0.84405,                      1,                      1,                  0.995,                  0.995,                 0.1187,                0.28417,                0.66038,             0.00026408,             0.00026408,             0.00026408
                     79,                 0.1888,                0.38093,                0.84075,                      1,                      1,                  0.995,                  0.995,                0.11447,                0.28063,                0.66003,             0.00025309,             0.00025309,             0.00025309
                     80,                0.18238,                0.38041,                0.83802,                      1,                      1,                  0.995,                  0.995,                0.10312,                0.26918,                0.65864,             0.00024209,             0.00024209,             0.00024209
                     81,                0.17527,                0.37344,                0.85235,                      1,                      1,                  0.995,                  0.995,                0.09308,                0.25172,                0.65759,             0.00023109,             0.00023109,             0.00023109
                     82,                0.15652,                0.33857,                0.83869,                      1,                      1,                  0.995,                  0.995,                0.09691,                0.25554,                0.65939,             0.00022009,             0.00022009,             0.00022009
                     83,                0.19698,                0.35908,                0.82118,                      1,                      1,                  0.995,                  0.995,                0.10112,                0.25643,                0.65912,             0.00020909,             0.00020909,             0.00020909
                     84,                0.18049,                0.37232,                0.85735,                      1,                      1,                  0.995,                  0.995,                0.11224,                0.25621,                0.65966,             0.00019809,             0.00019809,             0.00019809
                     85,                0.17021,                0.40177,                0.86736,                      1,                      1,                  0.995,                  0.995,                0.10964,                0.25014,                0.65914,             0.00018709,             0.00018709,             0.00018709
                     86,                0.17766,                0.35378,                0.85649,                      1,                      1,                  0.995,                  0.995,                0.10588,                 0.2714,                0.65842,             0.00017609,             0.00017609,             0.00017609
                     87,                0.15382,                0.36933,                0.83293,                      1,                      1,                  0.995,                  0.995,                0.10021,                 0.2665,                0.65764,             0.00016509,             0.00016509,             0.00016509
                     88,                0.15593,                0.33864,                0.82588,                      1,                      1,                  0.995,                  0.995,                0.09422,                0.26012,                 0.6561,              0.0001541,              0.0001541,              0.0001541
                     89,                0.17716,                0.37307,                 0.8385,                      1,                      1,                  0.995,                  0.995,                 0.0955,                0.25834,                0.65601,              0.0001431,              0.0001431,              0.0001431
                     90,                 0.1618,                0.33053,                0.83471,                      1,                      1,                  0.995,                  0.995,                0.09534,                0.26178,                0.65647,              0.0001321,              0.0001321,              0.0001321
                     91,                0.12306,                0.40528,                 0.8099,                      1,                      1,                  0.995,                  0.995,                0.09706,                0.28979,                0.65744,              0.0001211,              0.0001211,              0.0001211
                     92,                0.12056,                0.40138,                0.75952,                      1,                      1,                  0.995,                  0.995,                0.10845,                0.30717,                0.66123,              0.0001101,              0.0001101,              0.0001101
                     93,                0.12208,                0.44965,                0.80583,                      1,                      1,                  0.995,                  0.995,                0.11099,                0.30174,                0.66124,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.11258,                0.40295,                0.75115,                      1,                      1,                  0.995,                  0.995,                0.10636,                0.28426,                0.65972,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.10421,                0.47717,                0.76007,                      1,                      1,                  0.995,                  0.995,                0.09937,                0.26086,                0.65848,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.12079,                0.38517,                0.79162,                      1,                      1,                  0.995,                  0.995,                0.09439,                0.25776,                0.65752,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.10782,                0.38003,                0.80663,                      1,                      1,                  0.995,                  0.995,                0.09395,                0.25745,                0.65755,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.10422,                0.36597,                0.79025,                      1,                      1,                  0.995,                  0.995,                0.09755,                0.25983,                0.65804,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.10349,                0.36803,                0.77534,                      1,                      1,                  0.995,                  0.995,                0.09809,                0.26861,                0.65802,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.10359,                0.49577,                0.77108,                      1,                      1,                  0.995,                  0.995,                0.09869,                0.26601,                0.65803,             2.2109e-05,             2.2109e-05,             2.2109e-05
